titulo,parceiro,depositario,loc_celebracao,pais_celebracao,data,temas,status,n_registro_onu,vigor_int_em,expirou_em,pdf_url
Memorando de Entendimento entre o Ministério das Relações Exteriores da República Federativa do Brasil e o Ministério das Relações Exteriores da República do Chile sobre Cooperação entre o Instituto Rio Branco e a Academia Diplomática Andrés Bello,Chile,NA,Brasília / Santiago,Brasil,26/06/2020,Academias Diplomáticas,Em Vigor,NA,01/09/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30637
Protocolo ao Acordo de Comércio e Cooperação Econômica entre o Governo da República Federativa do Brasil e o Governo dos Estados Unidos da América Relacionado a Regras Comerciais e de Transparência,Estados Unidos,NA,Brasília / Washington,Brasil,19/10/2020,Cooperação Econômica; Comércio,Tramitação Ministérios/Casa Civil,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30573
"Acordo entre o Governo da República Federativa do Brasil e a Secretaria-Geral da Organização dos Estados Americanos referente aos Privilégios e Imunidades dos Observadores das Eleições Municipais a celebrarem-se em 15 de novembro de 2020, em primeiro turno, e 29 de novembro de 2020, em segundo turno",OEA - Organização dos Estados Americanos,NA,Washington,Estados Unidos,09/10/2020,Privilégios e Imunidades,Em Vigor,NA,09/10/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30569
"Acordo, por Troca de Notas, para o Estabelecimento dos Comitês de Fronteira entre a República Federativa do Brasil e a República do Peru e seu Regulamento Geral",Peru,NA,Brasília / Lima,Brasil,16/09/2020,Fronteiras e Soberania Territorial,Em Vigor,NA,16/09/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30533
"Emenda 4 ao Programa Executivo entre o Governo da República Federativa do Brasil e o Programa das Nações Unidas para o Meio Ambiente Fundamentado no Acordo Básico de Assistência Técnica entre os Estados Unidos do Brasil e a Organização das Nações Unidas, suas Agências Especializadas e a Agência Internacional de Energia Atômica (AIEA), para a Implementação do Projeto ''Desenvolvimento da Avaliação Inicial da Convenção de Minamata sobre Mercúrio no Brasil''",PNUMA - Programa das Nações Unidas para o Meio Ambiente,NA,Brasília,Brasil,25/06/2020,Cooperação Técnica,Em Vigor,NA,25/06/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30498
Memorando de Entendimento entre o Governo da República Federativa do Brasil e o Governo da República do Chile sobre Cooperação na Área de Telecomunicações e Economia Digital,Chile,NA,Brasília e Santiago,Brasil,24/07/2020,Cooperação; Meios de Comunicação,Em Vigor,NA,07/08/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30474
"Acordo, por troca de notas, entre o Governo da República Federativa do Brasil e o Governo do Reino de Marrocos para Evitar a Dupla Tributação Decorrente do Transporte Marítimo e Aéreo",Marrocos,NA,Brasília,Brasil,14/10/2019,"Transporte Fluvial e Marítimo; Transporte Aéreo; Aduanas, Impostos e Tarifas",Em Vigor,NA,14/10/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30415
"Acordo entre o Governo da República Federativa do Brasil e o Governo dos Estados Unidos da América referente a projetos de pesquisa, desenvolvimento, teste e avaliação (Acordo RDT&E)",Estados Unidos,NA,Miami,Estados Unidos,08/03/2020,Cooperação Científica e Tecnológica; Defesa e Assuntos Militares,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30296
Acordo sobre Serviços Aéreos entre o Governo da República Federativa do Brasil e o Governo da República de Angola,Angola,NA,Montreal,Canadá,24/09/2019,Transporte Aéreo,Tramitação Ministérios/Casa Civil,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30282
Programa de intercâmbio cultural entre o governo da República Federativa do Brasil e o governo da República da Índia para o período 2020-2024,Índia,NA,Nova Delhi ,Índia,25/01/2020,Cooperação Artístico-cultural,Em Vigor,NA,25/01/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30238
Acordo de previdência social entre a República Federativa do Brasil e a República da Índia,Índia,NA,Nova Delhi,Índia,25/01/2020,Previdência Social,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30223
Acordo entre a República Federativa do Brasil e a República da Índia sobre assistência jurídica mútua em matéria penal,Índia,NA,Nova Delhi,Índia,25/01/2020,Cooperação; Direito Penal,Tramitação Ministérios/Casa Civil,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30663
Acordo de cooperação e facilitação de investimentos entre a República Federativa do Brasil e a República da Índia,Índia,NA,Nova Delhi ,Índia,25/01/2020,Cooperação Econômica,Tramitação Ministérios/Casa Civil,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30220
Memorando de Entendimento entre a República Federativa do Brasil e a República da Índia sobre cooperação em bioenergia,Índia,NA,Nova Delhi,Índia,25/01/2020,Energia,Em Vigor,NA,25/01/2020,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30218
Ajuste Complementar ao Acordo Básico de Cooperação Técnica entre o Governo da República Federal da Alemanha e o Governo da República Federativa do Brasil para a implementação do projeto de cooperação técnica “DKTI – Parceria Tecnológica Brasil-Alemanha para Armazenamento de Energia”,Alemanha,NA,Brasília,Brasil,30/12/2019,Energia; Cooperação Científica e Tecnológica; Cooperação Técnica,Tramitação MRE,NA,30/12/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30199
Memorando de Entendimento entre o Governo da República Federativa do Brasil e o Governo do Canadá relativo a certos tributos,Canadá,NA,Brasília,Brasil,20/12/2019,"Aduanas, Impostos e Tarifas",Em Vigor,NA,20/12/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30190
Acordo de Cooperação entre o Governo da República Federativa do Brasil e o Governo da República de Angola em Matéria de Segurança e Ordem Interna,Angola,NA,Luanda,Angola,12/12/2019,Segurança Pública; Cooperação,Tramitação Ministérios/Casa Civil,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30181
Memorando de Entendimento sobre Parceria Estratégica entre a República Federativa do Brasil e os Emirados Árabes Unidos.,Emirados Árabes Unidos,NA,Abu Dhabi ,Emirados Árabes Unidos,27/10/2019,Cooperação,Em Vigor,NA,27/10/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30170
Tratado sobre Transferência de Pessoas Condenadas entre a República Federativa do Brasil e a República Popular da China,China,NA,Brasília,Brasil,13/11/2019,Cooperação; Direito Penal,Tramitação MRE,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30137
Acordo entre o Governo da República Federativa do Brasil e o Governo do Reino da Arábia Saudita sobre a Concessão de Vistos de Visita para Cidadãos de Ambos os Países,Arábia Saudita,NA,Riade,Arábia Saudita,30/10/2019,Vistos e Imigração,Tramitação MRE,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30136
Acordo entre o Governo da República Federativa do Brasil e o Governo dos Emirados Árabes Unidos Sobre Cooperação e Assistência Mútua em Matéria Aduaneira,Emirados Árabes Unidos,NA,Abu Dhabi,Emirados Árabes Unidos,27/10/2019,"Aduanas, Impostos e Tarifas",Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30127
Acordo Entre a República Federativa do Brasil e os Emirados Árabes Unidos Sobre Troca e Proteção Mútua de Informação Classificada e Material,Emirados Árabes Unidos,NA,Abu Dhabi,Emirados Árabes Unidos,27/10/2019,Defesa e Assuntos Militares,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30402
Memorando de Entendimento para o fortalecimento da cooperação entre o Ministério das Relações Exteriores da República Federativa do Brasil e o Ministério dos Negócios Estrangeiros da República Popular da China,China,NA,Pequim,China,25/10/2019,Cooperação,Em Vigor,NA,25/10/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30120
"Arranjo entre o Governo da República Federativa do Brasil e o Governo da República da Áustria sobre o exercício de atividades remuneradas por dependentes do pessoal diplomático, consular, administrativo e técnico",Áustria,NA,Brasília,Brasil,31/10/2019,Dependentes - Atividades Remuneradas,Em Vigor,NA,31/10/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30125
Memorando de Entendimento entre o Instituto Rio Branco do Ministério das Relações Exteriores da República Federativa do Brasil e o Instituto Diplomático do Estado do Catar sobre cooperação mútua para o treinamento de diplomatas.,Catar,NA,Doha ,Catar,28/10/2019,Cooperação,Em Vigor,NA,28/10/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30115
Memorando de Entendimento entre o Governo da república Federativa do Brasil e o Governo do Estado do Catar sobre cooperação em grandes eventos internacionais.,Catar,NA,Doha,Catar,28/10/2019,Cooperação,Em Vigor,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30116
Acordo entre o Governo da República Federativa do Brasil e o Governo do Estado do Catar sobre isenção mútua de visto de entrada para portadores de passaporte comum.,Catar,NA,Doha,Catar,28/10/2019,Vistos e Imigração,Em Vigor,NA,27/12/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30117
Memorando de Entendimento entre o Governo da República Federativa do Brasil e o Governo do Estado do Catar sobre cooperação no campo da saúde.,Catar,NA,Doha,Catar,28/10/2019,Saúde,Tramitação MRE,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30114
Acordo bilateral sobre serviços aéreos entre o Governo da República Federativa do Brasil e o Governo do Estado do Catar.,Catar,NA,Doha ,Catar,28/10/2019,Transporte Aéreo,Tramitação Ministérios/Casa Civil,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30113
"Acordo entre o Governo da República Federativa do Brasil e a Organização das Nações Unidas, representada pelo programa das Nações Unidas para o Meio Ambiente sobre a reunião preparatória regional de América Latina e Caribe para a terceira conferência das partes da convenção de MINAMATA sobre mercúrio (COP3).",ONU (Organização das Nações Unidas),NA,Nairobi,Quênia,18/10/2019,Meio Ambiente,Em Vigor,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30111
Acordo de Cooperação e Facilitação de Investimentos entre a República Federativa do Brasil e a República do Equador.,Equador,NA,Nova York,Estados Unidos,25/09/2019,Investimento; Cooperação,Tramitação Ministérios/Casa Civil,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30078
"Acordo entre a República Federativa do Brasil e a Organização das Nações Unidas para a realização do curso de treinadores mestres ""Buddy First Aid Course"".",ONU (Organização das Nações Unidas),NA,Nova York ,Estados Unidos,09/09/2019,Acordo de Sede,Em Vigor,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30066
Acordo de Extradição entre a República Federativa do Brasil e a República de Cameroun,Camarões,NA,Brasília,Brasil,03/09/2019,Extradição,Tramitação MRE,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30052
Acordo de Transferência de Pessoas Condenadas à Privação de Liberdade entre a República Federativa do Brasil e a República de Cameroun,Camarões,NA,Brasília,Brasil,03/09/2019,Cooperação; Direito Penal,Tramitação MRE,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30051
"Ajuste complementar ao acordo básico de cooperação técnica, científica e tecnológica entre o Governo da República Federativo do Brasil e o Governo do Estado Plurinacional da Bolívia para implementação do projeto ""Fortalecimento da capacidade cooperativa da polícia boliviana e da polícia rodoviária federal no combate aos crimes contra os direitos humanos""",Bolívia,NA,La Paz,Bolívia,26/08/2019,Cooperação Técnica; Direitos Humanos; Cooperação Científica e Tecnológica,Em Vigor,NA,26/08/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30050
"Ajuste Complementar ao Acordo Básico de Cooperação Técnica, Científica e Tecnológica entre o Governo da República Federativa do Brasil e o Governo do Estado Plurinacional da Bolívia para a implementação do projeto ""fortalecimento da capacidade operativa da Polícia Boliviana e da Polícia Rodoviária Federal na luta contra os crimes transnacionais nas rodovias"".",Bolívia,NA,La Paz,Bolívia,26/08/2019,Cooperação Técnica; Cooperação Científica e Tecnológica,Em Vigor,NA,26/08/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30049
"Ajuste complementar ao Acordo básico de cooperação técnica, científica e tecnológica entre o Governo da República Federativa do Brasil e o Governo do Estado Plurinacional da Bolívia para a implementação do projeto ""fortalecimento da capacidade operativa da Polícia Boliviana e da Polícia Rodoviária Federal na luta contra o narcotráfico em rodovias e delitos conexos de impacto transfronteiriço"".",Bolívia,NA,La Paz,Bolívia,26/08/2019,Cooperação Científica e Tecnológica; Cooperação Técnica,Em Vigor,NA,26/08/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30048
Acordo sobre serviços aéreos entre a República Federativa do Brasil e a República de Ruanda,Ruanda,NA,Kigali,Ruanda,14/08/2019,Transporte Aéreo,Tramitação Ministérios/Casa Civil,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30021
Acordo de Livre Comércio entre a República Federativa do Brasil e a República do Chile,Chile,NA,Santiago,Chile,21/11/2018,Investimento; Comércio,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/30015
Acordo Básico de Cooperação Científica e Técnica entre o Governo da República Federativa do Brasil e o Governo da República da Guatemala,Guatemala,NA,Cidade da Guatemala ,Guatemala,25/07/2019,Cooperação Técnica; Cooperação Científica e Tecnológica,Tramitação Congresso Nacional,NA,NA,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29998
"Acordo, por Troca de Notas, entre o Governo da República Federativa do Brasil e o Governo da República Eslovaca sobre o Exercício de Atividades Remuneradas por parte de Dependentes do Pessoal das Missões Diplomáticas e das Repartições Consulares",Eslováquia,NA,Bratislava ,Eslováquia,02/05/2019,Dependentes - Atividades Remuneradas,Em Vigor,NA,01/08/2019,NA,https://aplicacao.itamaraty.gov.br/ApiConcordia/Documento/download/29986
